ResponseId,pkgs_pkgs_tidyr,pkgs_pkgs_readr,pkgs_pkgs_stringr,pkgs_pkgs_forcats,pkgs_pkgs_ggplot,pkgs_pkgs_purr,pkgs_pkgs_tibble,pkgs_pkgs_dplyr,pkgs_pkgs_lubridate,pkgs_pkgs_broom,pkgs_pkgs_blob,pkgs_pkgs_magrittr,pkgs_pkgs_glue,pkgs_pkgs_readxl,pkgs_pkgs_haven,pkgs_pkgs_feather,operators_operators_1,operators_operators_2,operators_operators_3,operators_operators_4,operators_operators_5,operators_operators_6,operators_operators_7,operators_operators_8,estimate_1,Ryears,platform,rknowledge
R_11dVIH5sMpbExjQ,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,50,2,2,22
R_3j2rY9TVsB4z76a,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,60,5,1,19
R_12KjV6YpiOdN4Nw,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,80,6,2,22
R_wT16QhbI0puW4ut,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,10,1,1,21
R_1GCUl38vXEwh393,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,85,4,2,24
R_3pc1jo92N06MvP7,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,1,1,17
R_41wXDOWx09e8IMh,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,56,7,2,18
R_1CmtXuzqmwSq3jK,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,77,7,1,16
R_u3tprApojeKL7EJ,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,75,5,2,17
R_2fwDNxLMNDi3uaB,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,41,1,2,17
R_3kvROD7pJ34F2bZ,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,40,5,2,22
R_WoEqg1UeQFoRvG1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,100,2,2,21
R_1dcMdTvIzzYjsMr,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,35,3,1,16
R_24wuIk6DzmvdPdI,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,62,3,2,20
R_2ur280e3TorbkG2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,40,3,2,23
R_1N5ntaJjqljYht3,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,40,3,1,20
R_2WMyDEw2wYDwNYR,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,31,3,2,21
R_3CHKesQVjYc9M3O,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,90,7,1,22
R_8v8aIINb1C01D7r,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,2,2,16
R_Di4sKB3Isd4MVGN,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,70,7,1,19
R_3h3doTduqh1qm6S,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,60,3,2,20
R_2qa8PyyzaFCaVaV,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,47,5,1,21
R_u3qxkM09kXpn9dv,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,25,4,1,17
R_4YOb6mrFXDIuwzT,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,50,7,2,21
R_33lOHsbhef1xn4u,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,30,7,1,21
R_DuzGZSxYMuo71jX,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,60,3,1,20
R_eVcpAYn2UZvis4V,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,55,4,1,20
R_30pfKD4qaFJ0upd,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,75,7,2,19
R_2WO9bWVwEBAJXyW,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,50,7,1,23
R_2cC3Qz7CJPHf5pm,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,40,4,1,22
R_C3xbB7HaPfial1v,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,84,7,1,21
R_2zY16eWDQZIuSbd,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,80,6,1,17
R_NW3aKmqcwTbmaxr,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,40,1,1,20
R_CgDqXQnopjZQrIZ,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,60,4,2,19
R_eEAVWg03EV3XV3b,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,19,6,1,18
R_2YnvPp3J1891yM1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,35,4,1,19
R_tVz7XGMJ8zW7877,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,75,3,1,24
R_Zl4917HhkEPUXTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,55,5,2,16
R_BLXxS0Z6GtCah4R,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,40,7,1,18
R_1NkX5mdBJAjeBWz,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,35,3,3,20
R_YcvFmNm4pbn5gFb,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,58,7,1,21
R_vBlFzOts3tdVArv,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,52,4,2,21
R_pheiVsSZ3o7fUpX,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,44,7,1,19
R_2BamI78aFpUMb3g,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,37,3,2,20
R_DTT1g2DW1oxPlT3,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,5,2,1,18
R_b8W85aOa7MHBymZ,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,10,3,2,20
R_3IeUN74sTjlQj4d,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,36,6,2,18
R_2X0OORFKDuhzyEw,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,40,4,2,16
R_2i9s4A2eDUbYjv3,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,90,6,3,21
R_3EzrLYYsiDXkNcS,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,40,2,2,23
